# wave number [cm^-1];  intensity;  intensity^2
0;  2.29417E-06;  5.26323E-12
10.8582;  2.69111E-06;  7.24206E-12
21.7164;  3.73427E-06;  1.39447E-11
32.5747;  5.04844E-06;  2.54867E-11
43.4329;  6.20687E-06;  3.85252E-11
54.2911;  6.94454E-06;  4.82267E-11
65.1493;  7.32032E-06;  5.35871E-11
76.0076;  7.7558E-06;  6.01525E-11
86.8658;  8.92323E-06;  7.9624E-11
97.724;  1.15112E-05;  1.32507E-10
108.582;  1.59449E-05;  2.5424E-10
119.44;  2.21602E-05;  4.91073E-10
130.299;  2.95159E-05;  8.71186E-10
141.157;  3.68874E-05;  1.36068E-09
152.015;  4.29224E-05;  1.84233E-09
162.873;  4.63847E-05;  2.15154E-09
173.732;  4.64833E-05;  2.1607E-09
184.59;  4.30849E-05;  1.85631E-09
195.448;  3.67473E-05;  1.35036E-09
206.306;  2.85668E-05;  8.16063E-10
217.164;  1.98924E-05;  3.95707E-10
228.023;  1.19942E-05;  1.43862E-10
238.881;  5.78632E-06;  3.34815E-11
249.739;  1.67427E-06;  2.80318E-12
260.597;  -4.42426E-07;  1.9574E-13
271.456;  -1.03655E-06;  1.07445E-12
282.314;  -7.46861E-07;  5.57802E-13
293.172;  -1.72134E-07;  2.96301E-14
304.03;  2.73551E-07;  7.48303E-14
314.888;  4.13835E-07;  1.71259E-13
325.747;  2.76195E-07;  7.62835E-14
336.605;  3.58673E-09;  1.28646E-17
347.463;  -2.44756E-07;  5.99054E-14
358.321;  -3.66034E-07;  1.33981E-13
369.18;  -3.41198E-07;  1.16416E-13
380.038;  -2.19376E-07;  4.81258E-14
390.896;  -7.76963E-08;  6.03672E-15
401.754;  2.01128E-08;  4.04525E-16
412.612;  4.83185E-08;  2.33467E-15
423.471;  2.04711E-08;  4.19065E-16
434.329;  -2.74534E-08;  7.53687E-16
445.187;  -6.00907E-08;  3.61089E-15
456.045;  -5.98391E-08;  3.58072E-15
466.904;  -3.14345E-08;  9.88129E-16
477.762;  5.47346E-09;  2.99588E-17
488.62;  2.96079E-08;  8.7663E-16
499.478;  2.95229E-08;  8.71599E-16
510.336;  7.91559E-09;  6.26566E-17
521.195;  -2.20288E-08;  4.85268E-16
532.053;  -4.50095E-08;  2.02585E-15
542.911;  -5.16775E-08;  2.67057E-15
553.769;  -4.23739E-08;  1.79555E-15
564.628;  -2.53402E-08;  6.42125E-16
575.486;  -1.11728E-08;  1.24831E-16
586.344;  -6.91592E-09;  4.78299E-17
597.202;  -1.28604E-08;  1.65389E-16
608.06;  -2.33131E-08;  5.43499E-16
618.919;  -3.04022E-08;  9.24291E-16
629.777;  -2.85831E-08;  8.16993E-16
640.635;  -1.74463E-08;  3.04373E-16
651.493;  -1.59781E-09;  2.55301E-18
662.352;  1.20193E-08;  1.44464E-16
673.21;  1.77357E-08;  3.14556E-16
684.068;  1.38267E-08;  1.91177E-16
694.926;  3.0227E-09;  9.13673E-18
705.784;  -9.16724E-09;  8.40382E-17
716.643;  -1.73045E-08;  2.99445E-16
727.501;  -1.856E-08;  3.44474E-16
738.359;  -1.37824E-08;  1.89954E-16
749.217;  -6.71933E-09;  4.51494E-17
760.076;  -1.90908E-09;  3.64459E-18
770.934;  -2.32934E-09;  5.42582E-18
781.792;  -7.91641E-09;  6.26695E-17
792.65;  -1.56225E-08;  2.44061E-16
803.508;  -2.09515E-08;  4.38966E-16
814.367;  -2.02539E-08;  4.10222E-16
825.225;  -1.27048E-08;  1.61412E-16
836.083;  -9.98836E-10;  9.97674E-19
846.941;  9.67204E-09;  9.35484E-17
857.8;  1.40148E-08;  1.96414E-16
868.658;  9.344E-09;  8.73103E-17
879.516;  -2.7407E-09;  7.51141E-18
890.374;  -1.68165E-08;  2.82796E-16
901.232;  -2.635E-08;  6.94323E-16
912.091;  -2.76212E-08;  7.62929E-16
922.949;  -2.28357E-08;  5.21468E-16
933.807;  -2.02508E-08;  4.10095E-16
944.665;  -3.01947E-08;  9.11723E-16
955.524;  -5.77736E-08;  3.33779E-15
966.382;  -9.52289E-08;  9.06853E-15
977.24;  -1.1815E-07;  1.39593E-14
988.098;  -8.91313E-08;  7.94438E-15
998.957;  3.01592E-08;  9.09578E-16
1009.81;  2.61555E-07;  6.84109E-14
1020.67;  5.94298E-07;  3.5319E-13
1031.53;  9.7847E-07;  9.57403E-13
1042.39;  1.33407E-06;  1.77973E-12
1053.25;  1.57644E-06;  2.48516E-12
1064.11;  1.65164E-06;  2.72791E-12
1074.96;  1.56917E-06;  2.46229E-12
1085.82;  1.41784E-06;  2.01027E-12
1096.68;  1.3541E-06;  1.83358E-12
1107.54;  1.56138E-06;  2.43792E-12
1118.4;  2.19023E-06;  4.79711E-12
1129.26;  3.29826E-06;  1.08785E-11
1140.11;  4.81224E-06;  2.31577E-11
1150.97;  6.52944E-06;  4.26336E-11
1161.83;  8.1631E-06;  6.66363E-11
1172.69;  9.42125E-06;  8.87599E-11
1183.55;  1.00948E-05;  1.01906E-10
1194.4;  1.01259E-05;  1.02533E-10
1205.26;  9.63018E-06;  9.27403E-11
1216.12;  8.86508E-06;  7.85897E-11
1226.98;  8.14901E-06;  6.64064E-11
1237.84;  7.75885E-06;  6.01997E-11
1248.7;  7.83844E-06;  6.14412E-11
1259.55;  8.34952E-06;  6.97145E-11
1270.41;  9.08244E-06;  8.24908E-11
1281.27;  9.72452E-06;  9.45664E-11
1292.13;  9.964E-06;  9.92812E-11
1302.99;  9.59571E-06;  9.20777E-11
1313.84;  8.5938E-06;  7.38534E-11
1324.7;  7.12735E-06;  5.07991E-11
1335.56;  5.51404E-06;  3.04046E-11
1346.42;  4.12675E-06;  1.70301E-11
1357.28;  3.28333E-06;  1.07802E-11
1368.14;  3.15437E-06;  9.95006E-12
1378.99;  3.71755E-06;  1.38202E-11
1389.85;  4.77124E-06;  2.27647E-11
1400.71;  6.00114E-06;  3.60137E-11
1411.57;  7.07722E-06;  5.00871E-11
1422.43;  7.74942E-06;  6.00535E-11
1433.29;  7.91277E-06;  6.26119E-11
1444.14;  7.62342E-06;  5.81165E-11
1455;  7.06375E-06;  4.98965E-11
1465.86;  6.47079E-06;  4.18711E-11
1476.72;  6.05327E-06;  3.6642E-11
1487.58;  5.92436E-06;  3.5098E-11
1498.43;  6.07068E-06;  3.68532E-11
1509.29;  6.3649E-06;  4.0512E-11
1520.15;  6.61482E-06;  4.37558E-11
1531.01;  6.63035E-06;  4.39615E-11
1541.87;  6.28559E-06;  3.95087E-11
1552.73;  5.55628E-06;  3.08722E-11
1563.58;  4.5227E-06;  2.04549E-11
1574.44;  3.34032E-06;  1.11577E-11
1585.3;  2.19024E-06;  4.79716E-12
1596.16;  1.22757E-06;  1.50692E-12
1607.02;  5.43737E-07;  2.9565E-13
1617.88;  1.53022E-07;  2.34157E-14
1628.73;  3.73373E-09;  1.39407E-17
1639.59;  6.76227E-09;  4.57282E-17
1650.45;  6.93247E-08;  4.80592E-15
1661.31;  1.22119E-07;  1.4913E-14
1672.17;  1.32372E-07;  1.75223E-14
1683.02;  1.01523E-07;  1.0307E-14
1693.88;  5.19211E-08;  2.6958E-15
1704.74;  9.93099E-09;  9.86247E-17
1715.6;  -7.41185E-09;  5.49355E-17
1726.46;  1.99121E-09;  3.96492E-18
1737.32;  2.77184E-08;  7.68309E-16
1748.17;  5.4247E-08;  2.94274E-15
1759.03;  6.90174E-08;  4.7634E-15
1769.89;  6.74583E-08;  4.55062E-15
1780.75;  5.33982E-08;  2.85137E-15
1791.61;  3.56341E-08;  1.26979E-15
1802.46;  2.29639E-08;  5.2734E-16
1813.32;  2.02106E-08;  4.08467E-16
1824.18;  2.68177E-08;  7.19191E-16
1835.04;  3.81204E-08;  1.45317E-15
1845.9;  4.81711E-08;  2.32045E-15
1856.76;  5.25217E-08;  2.75853E-15
1867.61;  4.97234E-08;  2.47241E-15
1878.47;  4.11707E-08;  1.69502E-15
1889.33;  2.97656E-08;  8.85993E-16
1900.19;  1.83407E-08;  3.36381E-16
1911.05;  8.65442E-09;  7.4899E-17
1921.91;  1.29241E-09;  1.67033E-18
1932.76;  -3.76818E-09;  1.41992E-17
1943.62;  -6.46686E-09;  4.18203E-17
1954.48;  -6.3597E-09;  4.04458E-17
1965.34;  -2.86301E-09;  8.19681E-18
